Configuration,PDR_mean,PDR_std,Latency_hops_mean,Latency_hops_std,FND_rounds_mean,FND_rounds_std,Gini_mean,Gini_std
Full Model C+ (Complete),90.21333333333332,6.184482373022191,3.838519010229536,0.37914526794930514,50.0,0.0,0.28991071285098985,0.037372266034719756
Ablation 1: Static MLP Predictor,80.90666666666667,11.106722688934344,3.6730990762129943,0.34474414933551606,50.0,0.0,0.30313560620571917,0.06165326247505939
Ablation 2: Risk-Neutral Expected Q (alpha=1.0),81.52,6.9873790985366355,3.6186775259120356,0.2968156088024669,50.0,0.0,0.2802149705791841,0.077190236165537
Ablation 3: Fixed Linear Reward (No Barrier),92.37333333333333,7.172193217946353,2.831257407868904,0.143622181077873,50.0,0.0,0.5131470488999431,0.08428259862094878
