Scenario,Scenario_Name,Model,PDR_mean,PDR_std,Latency_hops_mean,Latency_hops_std,FND_rounds_mean,FND_rounds_std,Throughput_pkts_rnd_mean,Throughput_pkts_rnd_std,Gini_mean,Gini_std
sparse,Sparse Bottleneck (15 Nodes),Model A (Alanazi et al.),49.973333333333336,11.218524363252454,6.392898195341353,0.7180180863028337,46.666666666666664,4.714045207910317,12.493333333333334,2.8046310908131136,0.30782978557312474,0.094662456114671
sparse,Sparse Bottleneck (15 Nodes),Model B (Rahul Anand),60.64000000000001,11.979716190294328,3.2256947806267324,0.9392314048108287,47.666666666666664,3.299831645537222,15.160000000000002,2.994929047573582,0.5530958158381775,0.010096015255421663
sparse,Sparse Bottleneck (15 Nodes),Model C+ (Our Extension),63.6,5.775903969654164,2.6876014798632077,0.14378973929423125,50.0,0.0,15.9,1.4439759924135396,0.2752653483166032,0.0425153793360031
obstacle,Obstacle LoS Blockage (Sub-THz),Model A (Alanazi et al.),40.480000000000004,22.781419329503308,6.672896847778758,0.24530872233180492,50.0,0.0,10.12,5.695354832375825,0.35593023558339887,0.01138127826137759
obstacle,Obstacle LoS Blockage (Sub-THz),Model B (Rahul Anand),80.66666666666667,3.0049440741699147,3.312137765284304,0.08905744572959987,50.0,0.0,20.166666666666668,0.7512360185424787,0.6424383141422284,0.018633937890152615
obstacle,Obstacle LoS Blockage (Sub-THz),Model C+ (Our Extension),84.42666666666666,9.32090601223341,3.818610291670794,0.1384074977846178,50.0,0.0,21.106666666666666,2.3302265030583524,0.26771336308260923,0.028915988632706398
high_mobility,Extreme Mobility (40% @ 3.5m/s),Model A (Alanazi et al.),30.56,4.811098280711657,5.9758810590052365,0.4391713288129742,50.0,0.0,7.64,1.2027745701779142,0.3061086894188422,0.02461232944144321
high_mobility,Extreme Mobility (40% @ 3.5m/s),Model B (Rahul Anand),74.74666666666667,1.8270072675157998,3.233254304626751,0.1599762761807295,50.0,0.0,18.686666666666667,0.45675181687894995,0.579675329981818,0.03914082805238608
high_mobility,Extreme Mobility (40% @ 3.5m/s),Model C+ (Our Extension),79.11999999999999,6.813633391957629,3.7533470249634497,0.19605335365059828,50.0,0.0,19.779999999999998,1.7034083479894067,0.20810766882314705,0.009579063906737734
energy_scarce,Energy-Scarce Depletion (E0=0.5J),Model A (Alanazi et al.),38.82666666666666,7.259703085449766,6.3643753881748095,0.09222144005307424,48.333333333333336,1.699673171197595,9.706666666666667,1.8149257713624423,0.3362278541122207,0.053098160822473074
energy_scarce,Energy-Scarce Depletion (E0=0.5J),Model B (Rahul Anand),74.45333333333333,9.958063176251814,3.2330638338754896,0.25979105603127767,39.666666666666664,8.178562764256865,18.613333333333333,2.4895157940629513,0.6103201047698418,0.022586327183977288
energy_scarce,Energy-Scarce Depletion (E0=0.5J),Model C+ (Our Extension),85.65333333333332,5.355553711387414,3.6392580809767168,0.38534437303835106,50.0,0.0,21.41333333333333,1.3388884278468551,0.28522150187851586,0.04658020773791706
