Model,PDR_mean,PDR_std,Interception_Rate_mean,Interception_Rate_std,Latency_hops_mean,Latency_hops_std,FND_rounds_mean,FND_rounds_std,Gini_mean,Gini_std
Model A (Alanazi Tabular Q),40.800000000000004,21.947816899789068,14.133333333333335,0.7542472332656497,5.140070379436964,0.3177469044200335,25.0,0.0,0.519267653597017,0.015434945967378657
Model B (Rahul Anand Double-DQN),78.84444444444443,3.050844853640981,1.3333333333333337,0.43546484316145395,2.648984252915014,0.11094788036912105,25.0,0.0,0.5831442783264307,0.0178715542441836
Model C+ (Static CVaR-0.25),82.57777777777777,4.485146955215238,14.933333333333332,3.814980219355543,3.6207651089391866,0.8042918828268165,25.0,0.0,0.38451269413940786,0.049620247413044216
Model C+ (Dynamic Adaptive CVaR),82.4888888888889,6.460210599326801,11.911111111111111,5.7207441456725645,3.9995191818981417,0.2483948199741655,25.0,0.0,0.3454715291185309,0.012970629539244029
