Model,pdr_mean,pdr_std,buf_drop_rate_mean,buf_drop_rate_std,avg_hops_mean,avg_hops_std,first_death_mean,first_death_std,surviving_mean,surviving_std,gini_mean,gini_std
Model C (Phase 3 Baseline),73.15555555555557,25.97511144757677,0.0,0.0,2.7873153464319027,0.0648121393133554,64.0,15.556349186104045,37.333333333333336,2.357022603955158,0.4842997927067075,0.025861725320324484
Model C+ (Phase 4 Adaptive),59.80952380952382,6.232036316003854,37.04126984126984,5.992170923035679,3.797277677814242,0.20479575863401192,75.0,0.0,39.0,0.0,0.10089484749526499,0.018015100618469143
